file1;file2;kofola_high_cnt-runtime;kofola_high_cnt-retcode;kofola_high_cnt-states_cnt;kofola_high-runtime;kofola_high-retcode;kofola_high-states_cnt;kofola_medium_cnt-runtime;kofola_medium_cnt-retcode;kofola_medium_cnt-states_cnt;kofola_medium-runtime;kofola_medium-retcode;kofola_medium-states_cnt;kofola_low_cnt-runtime;kofola_low_cnt-retcode;kofola_low_cnt-states_cnt;kofola_low-runtime;kofola_low-retcode;kofola_low-states_cnt;kofola_no_preproc_cnt-runtime;kofola_no_preproc_cnt-retcode;kofola_no_preproc_cnt-states_cnt;kofola_no_preproc-runtime;kofola_no_preproc-retcode;kofola_no_preproc-states_cnt;autfilt_cnt-runtime;autfilt_cnt-retcode;autfilt_cnt-states_cnt;autfilt-runtime;autfilt-retcode;autfilt-states_cnt
automata/hyperltl/NI_correct_NI_formula_A.hoa;automata/hyperltl/NI_correct_NI_formula_B.hoa;0.11;0;65;0.1;0;;0.02;0;65;0.02;0;;0.03;0;65;0.03;0;;0.02;0;65;0.02;0;;0.02;0;61;0.01;0;
automata/hyperltl/NI_incorrect_NI_formula_A.hoa;automata/hyperltl/NI_incorrect_NI_formula_B.hoa;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING
automata/hyperltl/NRP_correct_NRP_formula_A.hoa;automata/hyperltl/NRP_correct_NRP_formula_B.hoa;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;TO;TO;0.01;1;56;0.01;1;
automata/hyperltl/NRP_incorrect_NRP_formula_A.hoa;automata/hyperltl/NRP_incorrect_NRP_formula_B.hoa;0.76;1;32;0.84;1;;0.76;1;32;0.87;1;;0.72;1;32;0.76;1;;0.28;1;32;0.31;1;;0.28;1;49;0.28;1;
automata/hyperltl/bakery_3procs_bakery_formula_S2_3proc_A.hoa;automata/hyperltl/bakery_3procs_bakery_formula_S2_3proc_B.hoa;0.28;1;38;0.25;1;;0.27;1;38;0.24;1;;0.21;1;38;0.21;1;;0.11;1;38;0.11;1;;0.04;1;248;0.03;1;
automata/hyperltl/bakery_3procs_bakery_formula_S3_3proc_A.hoa;automata/hyperltl/bakery_3procs_bakery_formula_S3_3proc_B.hoa;0.91;0;551;0.89;0;;0.84;0;551;0.84;0;;0.83;0;551;0.83;0;;0.83;0;551;0.85;0;;0.04;0;167;0.03;0;
automata/hyperltl/bakery_3procs_bakery_formula_sym1_3proc_A.hoa;automata/hyperltl/bakery_3procs_bakery_formula_sym1_3proc_B.hoa;0.01;1;38;0.01;1;;0.01;1;38;0.01;1;;0.01;1;38;0.01;1;;0.01;1;38;0.01;1;;0.01;1;7;0.0;1;
automata/hyperltl/bakery_3procs_bakery_formula_sym2_3proc_A.hoa;automata/hyperltl/bakery_3procs_bakery_formula_sym2_3proc_B.hoa;0.0;1;38;0.0;1;;0.01;1;38;0.01;1;;0.0;1;38;0.01;1;;0.01;1;38;0.01;1;;0.01;1;168;0.0;1;
automata/hyperltl/bakery_5procs_bakery_formula_sym1_5proc_A.hoa;automata/hyperltl/bakery_5procs_bakery_formula_sym1_5proc_B.hoa;0.54;1;12;0.54;1;;0.54;1;12;0.53;1;;0.52;1;12;0.54;1;;0.28;1;12;0.28;1;;0.02;1;1061;0.01;1;
automata/hyperltl/bakery_5procs_bakery_formula_sym2_5proc_A.hoa;automata/hyperltl/bakery_5procs_bakery_formula_sym2_5proc_B.hoa;0.48;1;12;0.49;1;;0.46;1;12;0.52;1;;0.47;1;12;0.47;1;;0.2;1;12;0.21;1;;0.02;1;1132;0.01;1;
automata/hyperltl/gni_concur_p1_1bit_A.hoa;automata/hyperltl/gni_concur_p1_1bit_B.hoa;0.0;0;39;0.01;0;;0.0;0;39;0.0;0;;0.0;0;39;0.0;0;;0.0;0;0;0.0;0;;0.0;0;33;0.0;0;
automata/hyperltl/gni_concur_p1_3bit_A.hoa;automata/hyperltl/gni_concur_p1_3bit_B.hoa;0.09;0;579;0.08;0;;0.08;0;579;0.08;0;;0.09;0;579;0.09;0;;0.02;0;0;0.01;0;;0.01;0;513;0.01;0;
automata/hyperltl/gni_concur_p1_4bit_A.hoa;automata/hyperltl/gni_concur_p1_4bit_B.hoa;1.49;0;2307;1.47;0;;1.55;0;2307;1.53;0;;1.49;0;2307;1.47;0;;0.16;0;0;0.17;0;;0.07;0;2049;0.05;0;
automata/hyperltl/gni_concur_p2_1bit_A.hoa;automata/hyperltl/gni_concur_p2_1bit_B.hoa;0.01;0;378;0.02;0;;0.02;0;378;0.01;0;;0.01;0;378;0.02;0;;0.0;0;0;0.0;0;;0.0;0;373;0.0;0;
automata/hyperltl/gni_concur_p3_1bit_A.hoa;automata/hyperltl/gni_concur_p3_1bit_B.hoa;0.01;0;119;0.0;0;;0.0;0;119;0.0;0;;0.01;0;119;0.01;0;;0.0;0;0;0.0;0;;0.01;0;114;0.0;0;
automata/hyperltl/gni_concur_p3_3bit_A.hoa;automata/hyperltl/gni_concur_p3_3bit_B.hoa;0.23;0;1859;0.22;0;;0.23;0;1859;0.22;0;;0.22;0;1859;0.23;0;;0.05;0;0;0.06;0;;0.02;0;1794;0.0;0;
automata/hyperltl/gni_concur_p4_1bit_A.hoa;automata/hyperltl/gni_concur_p4_1bit_B.hoa;0.01;0;182;0.01;0;;0.0;0;182;0.0;0;;0.01;0;182;0.01;0;;0.0;0;0;0.0;0;;0.01;0;177;0.0;0;
automata/hyperltl/gni_concur_p4_3bit_A.hoa;automata/hyperltl/gni_concur_p4_3bit_B.hoa;0.33;0;2882;0.33;0;;0.32;0;2882;0.33;0;;0.32;0;2882;0.34;0;;0.11;0;0;0.12;0;;0.02;0;2817;0.01;0;
automata/hyperltl/gni_lmcs_p1_1bit_A.hoa;automata/hyperltl/gni_lmcs_p1_1bit_B.hoa;0.0;0;5;0.0;0;;0.0;0;5;0.0;0;;0.0;0;5;0.0;0;;0.0;0;0;0.0;0;;0.0;0;5;0.0;0;
automata/hyperltl/gni_lmcs_p2_1bit_A.hoa;automata/hyperltl/gni_lmcs_p2_1bit_B.hoa;0.0;0;31;0.0;0;;0.0;0;31;0.0;0;;0.0;0;31;0.0;0;;0.0;0;0;0.0;0;;0.0;0;27;0.0;0;
automata/hyperltl/gni_lmcs_p2_2bit_A.hoa;automata/hyperltl/gni_lmcs_p2_2bit_B.hoa;0.01;0;307;0.01;0;;0.01;0;307;0.01;0;;0.01;0;307;0.01;0;;0.0;0;0;0.0;0;;0.01;0;291;0.01;0;
automata/hyperltl/gni_lmcs_p2_4bit_A.hoa;automata/hyperltl/gni_lmcs_p2_4bit_B.hoa;78.77;0;66307;80.61;0;;81.22;0;66307;71.39;0;;78.69;0;66307;75.01;0;;66.57;0;0;76.79;0;;0.1;0;66051;0.09;0;
automata/hyperltl/gni_lmcs_p3_1bit_A.hoa;automata/hyperltl/gni_lmcs_p3_1bit_B.hoa;0.01;0;119;0.01;0;;0.01;0;119;0.0;0;;0.01;0;119;0.01;0;;0.0;0;0;0.0;0;;0.01;0;114;0.01;0;
automata/hyperltl/gni_lmcs_p3_3bit_A.hoa;automata/hyperltl/gni_lmcs_p3_3bit_B.hoa;8.46;0;21315;7.75;0;;5.76;0;21315;7.06;0;;6.14;0;21315;7.33;0;;4.43;0;0;5.64;0;;0.05;0;20994;0.02;0;
automata/hyperltl/gni_lmcs_p4_1bit_A.hoa;automata/hyperltl/gni_lmcs_p4_1bit_B.hoa;0.01;0;182;0.01;0;;0.01;0;182;0.0;0;;0.01;0;182;0.0;0;;0.0;0;161;0.0;0;;0.01;0;161;0.0;0;
automata/hyperltl/gni_lmcs_p4_3bit_A.hoa;automata/hyperltl/gni_lmcs_p4_3bit_B.hoa;5.37;0;18182;5.97;0;;5.94;0;18182;6.13;0;;5.37;0;18182;6.0;0;;5.28;0;18182;4.85;0;;0.06;0;17921;0.05;0;
automata/hyperltl/mutation_testing_mutation_testing_A.hoa;automata/hyperltl/mutation_testing_mutation_testing_B.hoa;0.03;1;2;0.04;1;;0.03;1;2;0.03;1;;0.03;1;2;0.03;1;;0.02;1;2;0.02;1;;0.02;1;31;0.01;1;
automata/hyperltl/planning_robotic_robustness_100_A.hoa;automata/hyperltl/planning_robotic_robustness_100_B.hoa;6.59;1;153;6.55;1;;6.44;1;153;6.26;1;;6.25;1;153;6.17;1;;2.35;1;153;2.1;1;;1.79;1;4160;1.82;1;
automata/hyperltl/planning_robotic_robustness_1600_A.hoa;automata/hyperltl/planning_robotic_robustness_1600_B.hoa;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;603.83;1;289;572.86;1;;ERR;ERR;ERR;ERR
automata/hyperltl/planning_robotic_robustness_3600_A.hoa;automata/hyperltl/planning_robotic_robustness_3600_B.hoa;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;ERR;ERR;ERR;ERR
automata/hyperltl/planning_robotic_robustness_400_A.hoa;automata/hyperltl/planning_robotic_robustness_400_B.hoa;49.26;1;249;48.9;1;;43.12;1;249;50.35;1;;50.56;1;249;48.67;1;;22.73;1;249;22.56;1;;16.13;1;11636;16.99;1;
automata/hyperltl/planning_robotic_sp_100_A.hoa;automata/hyperltl/planning_robotic_sp_100_B.hoa;8.69;1;4515;8.48;1;;8.51;1;4515;8.56;1;;8.59;1;4515;8.58;1;;8.78;1;4515;8.49;1;;0.02;1;1187;0.01;1;
automata/hyperltl/planning_robotic_sp_1600_A.hoa;automata/hyperltl/planning_robotic_sp_1600_B.hoa;94.28;1;13393;91.81;1;;92.97;1;13393;93.89;1;;94.01;1;13393;93.54;1;;95.64;1;13393;93.07;1;;0.03;1;1625;0.03;1;
automata/hyperltl/planning_robotic_sp_3600_A.hoa;automata/hyperltl/planning_robotic_sp_3600_B.hoa;57.77;1;10701;56.48;1;;57.82;1;10701;58.46;1;;57.23;1;10701;56.44;1;;58.22;1;10701;56.26;1;;0.03;1;1691;0.02;1;
automata/hyperltl/planning_robotic_sp_400_A.hoa;automata/hyperltl/planning_robotic_sp_400_B.hoa;26.75;1;7520;26.57;1;;26.54;1;7520;26.83;1;;27.18;1;7520;26.85;1;;26.82;1;7520;26.6;1;;0.02;1;1339;0.01;1;
automata/hyperltl/snark1_M1_concurrent_snark1_M2_sequential_A.hoa;automata/hyperltl/snark1_M1_concurrent_snark1_M2_sequential_B.hoa;5.07;1;;4.93;1;;5.3;1;;4.91;1;;4.76;1;;4.65;1;;3.79;1;;3.76;1;;0.55;1;4991;0.54;1;
